tmdb_id,imdb_id,title,release_date,runtime,budget_nominal,revenue_nominal,genre_primary,genre_secondary,vote_average,vote_count
37169,tt1467304,The Human Centipede (First Sequence),2009-10-31,92,2000000,252207,Horror,N/A,5.184,2397
502356,tt6718170,The Super Mario Bros. Movie,2023-04-05,93,100000000,1360879735,Family,Comedy,7.604,10804
933260,tt17526714,The Substance,2024-09-07,141,17500000,77316812,Horror,Science Fiction,7.133,6068
361743,tt1745960,Top Gun: Maverick,2022-05-21,131,170000000,1488732821,Action,Drama,8.159,11044
396535,tt5700672,Train to Busan,2016-07-20,118,8500000,87547518,Horror,Thriller,7.751,8412
575265,tt9603208,Mission: Impossible - The Final Reckoning,2025-05-17,170,400000000,598767057,Action,Thriller,7.171,2864
372058,tt5311514,Your Name.,2016-08-26,106,7500000,405320132,Animation,Romance,8.481,12624
939243,tt18259086,Sonic the Hedgehog 3,2024-12-19,110,122000000,492162604,Action,Science Fiction,7.616,3306
10138,tt1228705,Iron Man 2,2010-04-28,124,200000000,623933331,Adventure,Action,6.855,22428
76600,tt1630029,Avatar: The Way of Water,2022-12-14,192,460000000,2334484620,Action,Adventure,7.594,14202
284054,tt1825683,Black Panther,2018-02-13,135,200000000,1349926083,Action,Adventure,7.364,23529
533533,tt6604188,TRON: Ares,2025-10-08,119,220000000,142249983,Science Fiction,Adventure,6.498,1438
1011985,tt21692408,Kung Fu Panda 4,2024-03-02,94,80000000,548040835,Action,Adventure,7.003,3532
10681,tt0910970,WALL·E,2008-06-26,98,180000000,521311860,Animation,Family,8.113,20351
950387,tt3566834,A Minecraft Movie,2025-03-31,101,150000000,960387780,Family,Fantasy,6.256,3035
1087192,tt26743210,How to Train Your Dragon,2025-06-06,125,150000000,636351148,Fantasy,Family,7.927,2873
1241982,tt13622970,Moana 2,2024-11-21,100,150000000,1059242164,Adventure,Animation,7.0,3096
77338,tt1675434,The Intouchables,2011-11-02,113,13000000,426590315,Drama,Comedy,8.271,18467
150540,tt2096673,Inside Out,2015-06-17,95,175000000,857611174,Animation,Family,7.9,23504
106646,tt0993846,The Wolf of Wall Street,2013-12-25,180,100000000,407038432,Crime,Drama,8.027,25982
324857,tt4633694,Spider-Man: Into the Spider-Verse,2018-12-06,117,90000000,394884133,Animation,Action,8.393,17302
872585,tt15398776,Oppenheimer,2023-07-19,181,100000000,952000000,Drama,History,8.026,11861
12445,tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011-07-12,130,125000000,1341511219,Adventure,Fantasy,8.079,22026
537915,tt4126476,After,2019-04-11,106,14000000,69497587,Drama,Romance,7.106,8528
244786,tt2582802,Whiplash,2014-10-10,107,3300000,50307484,Drama,Music,8.375,16675
438631,tt1160419,Dune,2021-09-15,155,165000000,410668500,Science Fiction,Adventure,7.78,14968
1726,tt0371746,Iron Man,2008-04-30,126,140000000,585174222,Action,Science Fiction,7.662,28197
269149,tt2948356,Zootopia,2016-02-11,109,150000000,1025521689,Animation,Adventure,7.764,18159
858024,tt14905854,Hamnet,2025-11-26,125,30000000,107756183,Drama,Romance,7.7,1393
429617,tt6320628,Spider-Man: Far From Home,2019-06-28,129,160000000,1132723226,Action,Adventure,7.396,17001
181808,tt2527336,Star Wars: The Last Jedi,2017-12-13,152,300000000,1334407706,Adventure,Action,6.75,16368
354912,tt2380307,Coco,2017-10-27,105,175000000,814641172,Family,Animation,8.198,21025
1197306,tt9150192,A Working Man,2025-03-26,116,40000000,89400711,Action,Crime,6.696,1943
414906,tt1877830,The Batman,2022-03-01,177,185000000,772775278,Crime,Mystery,7.661,11994
693134,tt15239678,Dune: Part Two,2024-02-27,167,190000000,714844358,Science Fiction,Adventure,8.1,8041
335984,tt1856101,Blade Runner 2049,2017-10-04,164,150000000,259239658,Science Fiction,Drama,7.594,15199
138843,tt1457767,The Conjuring,2013-07-18,112,13000000,321293998,Horror,Thriller,7.54,12750
406997,tt2543472,Wonder,2017-11-13,113,20000000,315025930,Family,Drama,8.106,8264
1236153,tt31050594,Mercy,2026-01-19,99,60000000,54708061,Science Fiction,Action,7.0,1389
617126,tt10676052,The Fantastic 4: First Steps,2025-07-23,115,229600000,521858728,Science Fiction,Adventure,6.961,3404
177572,tt2245084,Big Hero 6,2014-10-24,102,165000000,657870525,Adventure,Family,7.724,16616
68726,tt1663662,Pacific Rim,2013-07-11,131,180000000,411000000,Action,Science Fiction,6.93,13418
330457,tt4520988,Frozen II,2019-11-20,103,150000000,1453683476,Family,Animation,7.2,10303
68721,tt1300854,Iron Man 3,2013-04-18,130,200000000,1215577205,Action,Adventure,6.933,23465
58,tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,151,200000000,1066179747,Adventure,Fantasy,7.381,17211
72190,tt0816711,World War Z,2013-06-19,116,200000000,531865000,Action,Horror,6.836,16625
259316,tt3183660,Fantastic Beasts and Where to Find Them,2016-11-16,133,180000000,809342332,Fantasy,Adventure,7.309,19728
912649,tt16366836,Venom: The Last Dance,2024-10-22,109,120000000,478937618,Science Fiction,Action,6.672,4258
